year,month,day,hour,weekday,USD_buy,USD_sell,HKD_buy,HKD_sell,GBP_buy,GBP_sell,AUD_buy,AUD_sell,CAD_buy,CAD_sell,SGD_buy,SGD_sell,CHF_buy,CHF_sell,JPY_buy,JPY_sell,ZAR_buy,ZAR_sell,SEK_buy,SEK_sell,NZD_buy,NZD_sell,THB_buy,THB_sell,PHP_buy,PHP_sell,IDR_buy,IDR_sell,EUR_buy,EUR_sell,KRW_buy,KRW_sell,VND_buy,VND_sell,MYR_buy,MYR_sell,CNY_buy,CNY_sell
2023,4,29,9,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,10,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,11,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,12,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,13,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,14,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,15,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,16,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,17,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,18,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,19,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,20,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,21,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
2023,4,29,22,5,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.47,39.59,37.47,39.59,19.93,20.71,19.93,20.71,22.2,23.11,22.2,23.11,22.45,23.36,22.45,23.36,33.57,34.77,33.57,34.77,0.2164,0.2292,0.2164,0.2292,0,0,0,0,2.61,3.13
