year,month,day,hour,weekday,USD_buy,USD_sell,HKD_buy,HKD_sell,GBP_buy,GBP_sell,AUD_buy,AUD_sell,CAD_buy,CAD_sell,SGD_buy,SGD_sell,CHF_buy,CHF_sell,JPY_buy,JPY_sell,ZAR_buy,ZAR_sell,SEK_buy,SEK_sell,NZD_buy,NZD_sell,THB_buy,THB_sell,PHP_buy,PHP_sell,IDR_buy,IDR_sell,EUR_buy,EUR_sell,KRW_buy,KRW_sell,VND_buy,VND_sell,MYR_buy,MYR_sell,CNY_buy,CNY_sell
2025,12,1,1,0,31.03,31.7,31.03,31.7,3.88,4.084,3.88,4.084,40.44,42.56,40.44,42.56,20.21,20.99,20.21,20.99,22.01,22.92,22.01,22.92,23.69,24.6,23.69,24.6,38.35,39.55,38.35,39.55,0.1929,0.2057,0.1929,0.2057,0,0,0,0,0,0
2025,12,1,3,0,31.005,31.675,31.005,31.675,3.876,4.08,3.876,4.08,40.34,42.46,40.34,42.46,20.15,20.93,20.15,20.93,21.96,22.87,21.96,22.87,23.65,24.56,23.65,24.56,38.23,39.43,38.23,39.43,0.1927,0.2055,0.1927,0.2055,0,0,0,0,0,0
2025,12,1,4,0,31.01,31.68,31.01,31.68,3.877,4.081,3.877,4.081,40.37,42.49,40.37,42.49,20.17,20.95,20.17,20.95,21.97,22.88,21.97,22.88,23.66,24.57,23.66,24.57,38.25,39.45,38.25,39.45,0.1929,0.2057,0.1929,0.2057,0,0,0,0,0,0
2025,12,1,5,0,31.01,31.68,31.01,31.68,3.877,4.081,3.877,4.081,40.35,42.47,40.35,42.47,20.14,20.92,20.14,20.92,21.97,22.88,21.97,22.88,23.65,24.56,23.65,24.56,38.24,39.44,38.24,39.44,0.1927,0.2055,0.1927,0.2055,0,0,0,0,0,0
2025,12,1,6,0,31.04,31.71,31.04,31.71,3.88,4.084,3.88,4.084,40.37,42.49,40.37,42.49,20.17,20.95,20.17,20.95,21.98,22.89,21.98,22.89,23.67,24.58,23.67,24.58,38.26,39.46,38.26,39.46,0.1927,0.2055,0.1927,0.2055,0,0,0,0,0,0
