year,month,day,hour,weekday
2026,9,1,1,1
2026,9,1,7,1
2026,9,1,13,1
2026,9,1,17,1
2026,9,1,20,1
2026,9,1,23,1
2026,9,2,3,2
2026,9,2,8,2
2026,9,2,13,2
2026,9,2,17,2
2026,9,2,20,2
2026,9,2,22,2
2026,9,3,1,3
2026,9,3,6,3
2026,9,3,11,3
2026,9,3,15,3
2026,9,3,19,3
2026,9,3,22,3
2026,9,4,0,4
2026,9,4,5,4
2026,9,4,10,4
2026,9,4,14,4
2026,9,4,18,4
2026,9,4,21,4
2026,9,4,23,4
2026,9,5,3,5
2026,9,5,8,5
2026,9,5,12,5
2026,9,5,15,5
2026,9,5,17,5
2026,9,5,20,5
2026,9,5,22,5
2026,9,6,0,6
2026,9,6,5,6
2026,9,6,10,6
2026,9,6,13,6
2026,9,6,16,6
2026,9,6,18,6
2026,9,6,21,6
2026,9,6,23,6
2026,9,7,3,0
2026,9,7,8,0
2026,9,7,14,0
2026,9,7,19,0
2026,9,7,22,0
2026,9,8,0,1
2026,9,8,5,1
2026,9,8,10,1
2026,9,8,14,1
2026,9,8,18,1
2026,9,8,21,1
2026,9,8,23,1
2026,9,9,3,2
2026,9,9,8,2
2026,9,9,13,2
2026,9,9,17,2
2026,9,9,20,2
